Locality,Div_num,All2012_13,All2013_14,All2014_15,All2015_16,All2016_17,Deg4yr2012_13,Deg4yr2013_14,Deg4yr2014_15,Deg4yr2015_16,Deg4yr2016_17,Deg2yr2012_13,Deg2yr2013_14,Deg2yr2014_15,Deg2yr2015_16,Deg2yr2016_17,TotAll,Tot2yr,Tot4yr
Giles County,35,125,131,114,138,115,55,57,49,55,42,70,74,65,83,73,623,365,258
Gloucester County,36,356,313,307,282,353,157,116,124,144,122,199,197,183,138,231,1611,948,663
Goochland County,37,169,158,177,191,175,119,119,123,151,142,50,39,54,40,33,870,216,654
Grayson County,38,174,191,136,155,145,21,36,23,25,30,153,155,113,130,115,801,666,135
Greene County,39,111,138,155,172,197,48,66,66,55,71,63,72,89,117,126,773,467,306
Greensville County,40,122,113,143,137,141,34,26,40,27,26,88,87,103,110,115,656,503,153
Halifax County,41,534,453,417,517,450,131,105,81,106,114,403,348,336,411,336,2371,1834,537
Hampton city,112,"1,007",843,994,932,864,511,405,433,469,431,496,438,561,463,433,4640,2391,2249
Hanover County,42,"1,015",957,"1,013","1,035","1,013",709,664,723,744,725,306,293,290,291,288,5033,1468,3565
Harrisonburg city,113,306,286,300,414,357,200,185,188,197,198,106,101,112,217,159,1663,695,968
Henrico County,43,"2,272","2,257","2,261","2,396","2,498",1498,1472,1472,1586,1604,774,785,789,810,894,11684,4052,7632
Henry County,44,509,530,582,841,459,145,125,159,153,129,364,405,423,688,330,2921,2210,711
Highland County,45,23,10,18,16,7,9,3,10,8,5,14,7,8,8,2,74,39,35
Hopewell city,114,85,112,100,96,99,47,47,49,57,49,38,65,51,39,50,492,243,249
Isle of Wight County,46,304,307,289,279,308,171,162,154,147,173,133,145,135,132,135,1487,680,807
James City County,,508,570,596,592,570,321,345,369,384,351,187,225,227,208,219,2836,1066,1770
King and Queen County,49,46,47,41,39,53,15,20,11,18,15,31,27,30,21,38,226,147,79
King George County,48,194,237,223,252,263,79,99,106,113,97,115,138,117,139,166,1169,675,494
King William County,50,110,148,141,170,200,62,67,56,61,75,48,81,85,109,125,769,448,321
Lancaster County,51,74,102,80,70,71,28,58,44,33,30,46,44,36,37,41,397,204,193
Lee County,52,141,129,140,155,136,11,18,25,26,14,130,111,115,129,122,701,607,94
Lexington city,137,49,50,44,59,61,40,39,32,27,47,9,11,12,32,14,263,78,185
Loudoun County,53,"2,621","2,613","2,963","3,100","3,278",1690,1770,2042,2117,2286,931,843,921,983,992,14575,4670,9905
Louisa County,54,162,179,167,200,255,94,100,87,94,118,68,79,80,106,137,963,470,493
Lunenburg County,55,176,137,142,114,132,30,21,34,25,39,146,116,108,89,93,701,552,149
Lynchburg city,115,838,853,865,755,645,624,593,609,437,392,214,260,256,318,253,3956,1301,2655
Madison County,56,93,102,88,110,124,45,41,44,47,58,48,61,44,63,66,517,282,235
Manassas city,143,386,448,489,520,521,183,191,217,219,232,203,257,272,301,289,2364,1322,1042
Manassas Park city,144,70,66,81,94,98,32,26,38,48,51,38,40,43,46,47,409,214,195
Martinsville city,116,223,208,218,240,143,81,81,94,65,59,142,127,124,175,84,1032,652,380
Mathews County,57,123,103,91,103,89,56,56,57,56,53,67,47,34,47,36,509,231,278
Mecklenburg County,58,447,415,381,371,385,77,97,73,99,89,370,318,308,272,296,1999,1564,435
Middlesex County,59,116,94,93,87,86,40,38,30,29,29,76,56,63,58,57,476,310,166
Montgomery County,60,855,846,837,803,771,563,579,559,527,492,292,267,278,276,279,4112,1392,2720
Nelson County,62,81,79,80,119,128,49,43,49,53,67,32,36,31,66,61,487,226,261
New Kent County,63,131,152,158,201,194,61,74,80,102,73,70,78,78,99,121,836,446,390
Newport News city,117,"1,219","1,244","1,198","1,246","1,121",635,655,630,655,564,584,589,568,591,557,6028,2889,3139
Norfolk city,118,"1,366","1,348","1,478","1,381","1,312",767,784,803,793,733,599,564,675,588,579,6885,3005,3880
Northampton County,65,108,95,81,65,74,34,34,37,33,33,74,61,44,32,41,423,252,171
Northumberland County,66,58,62,61,80,88,27,27,23,24,34,31,35,38,56,54,349,214,135
Norton city,119,67,46,53,81,57,14,10,11,24,21,53,36,42,57,36,304,224,80
Nottoway County,67,157,126,125,136,134,50,38,39,35,40,107,88,86,101,94,678,476,202
Orange County,68,258,245,237,271,277,116,123,105,116,129,142,122,132,155,148,1288,699,589
Page County,69,124,158,173,180,182,42,55,49,46,69,82,103,124,134,113,817,556,261
Patrick County,70,170,192,176,167,175,45,63,55,52,52,125,129,121,115,123,880,613,267
Petersburg city,120,261,230,202,261,217,143,131,109,169,137,118,99,93,92,80,1171,482,689
Pittsylvania County,71,512,522,498,513,466,182,184,180,159,178,330,338,318,354,288,2511,1628,883
Poquoson city,142,142,146,137,132,144,88,105,96,88,93,54,41,41,44,51,701,231,470
Portsmouth city,121,716,668,728,668,663,268,265,286,255,253,448,403,442,413,410,3443,2116,1327
Powhatan County,72,215,217,229,251,267,114,132,148,149,127,101,85,81,102,140,1179,509,670
Prince Edward County,73,189,202,170,157,196,73,78,83,67,69,116,124,87,90,127,914,544,370
Prince George County,74,221,212,244,219,240,106,106,115,102,114,115,106,129,117,126,1136,593,543
Prince William County,75,"3,529","3,466","3,435","3,730","3,674",1888,1971,1879,2064,2086,"1,641","1,495","1,556","1,666","1,588",17834,7946,9888
Pulaski County,77,256,230,231,258,229,104,78,83,84,69,152,152,148,174,160,1204,786,418
Radford city,122,227,216,271,261,248,153,168,179,181,189,74,48,92,80,59,1223,353,870
Rappahannock County,78,50,52,51,68,67,26,33,30,35,32,24,19,21,33,35,288,132,156
Richmond city,123,"1,356","1,252","1,203","1,154","1,183",885,785,749,704,716,471,467,454,450,467,6148,2309,3839
Richmond County,79,128,152,106,114,139,58,70,55,55,51,70,82,51,59,88,639,350,289
Roanoke city,124,610,577,566,571,537,344,282,330,284,267,266,295,236,287,270,2861,1354,1507
Roanoke County,80,892,948,935,922,997,441,513,538,527,530,451,435,397,395,467,4694,2145,2549
Rockbridge County,81,89,102,112,132,143,44,54,59,49,51,45,48,53,83,92,578,321,257
Rockingham County,82,596,573,554,696,608,279,289,270,310,276,317,284,284,386,332,3027,1603,1424
Russell County,83,238,280,247,268,194,47,51,52,58,50,191,229,195,210,144,1227,969,258
Salem city,139,270,299,287,262,280,184,187,181,163,150,86,112,106,99,130,1398,533,865
Scott County,84,203,182,150,171,133,32,29,30,41,30,171,153,120,130,103,839,677,162
Shenandoah County,85,306,305,353,379,391,125,117,136,144,134,181,188,217,235,257,1734,1078,656
Smyth County,86,336,288,304,297,243,79,89,67,55,69,257,199,237,242,174,1468,1109,359
Southampton County,87,152,152,132,132,153,46,35,37,41,50,106,117,95,91,103,721,512,209
Spotsylvania County,88,"1,089","1,144","1,118","1,195","1,233",524,549,537,603,602,565,595,581,592,631,5779,2964,2815
Stafford County,89,"1,260","1,341","1,374","1,405","1,505",681,732,740,822,824,579,609,634,583,681,6885,3086,3799
Staunton city,126,232,227,267,217,180,146,160,201,98,86,86,67,66,119,94,1123,432,691
Suffolk city,127,704,635,663,652,699,292,297,310,342,327,412,338,353,310,372,3353,1785,1568
Surry County,90,48,40,44,38,49,29,14,23,23,26,19,26,21,15,23,219,104,115
Sussex County,91,53,47,50,59,62,25,28,30,33,32,28,19,20,26,30,271,123,148
Tazewell County,92,324,352,362,392,350,89,75,99,109,92,235,277,263,283,258,1780,1316,464
Virginia Beach city,128,"3,875","3,709","3,803","3,817","3,623",2147,2131,2142,2124,2056,"1,728","1,578","1,661","1,693","1,567",18827,8227,10600
Warren County,93,322,304,276,298,282,121,103,112,115,107,201,201,164,183,175,1482,924,558
Washington County,94,454,425,421,408,378,120,89,100,99,97,334,336,321,309,281,2086,1581,505
Waynesboro city,130,131,135,152,196,160,65,64,77,82,97,66,71,75,114,63,774,389,385
Westmoreland County,95,117,105,127,116,128,38,46,36,41,48,79,59,91,75,80,593,384,209
Williamsburg city,131,101,75,91,90,79,70,50,55,51,42,31,25,36,39,37,436,168,268
Winchester city,132,327,329,319,402,430,174,116,137,147,145,153,213,182,255,285,1807,1088,719
Wise County,96,364,365,375,447,440,87,85,102,111,113,277,280,273,336,327,1991,1493,498
Wythe County,97,380,361,328,378,298,85,71,93,93,82,295,290,235,285,216,1745,1321,424
York County,98,601,689,677,638,596,367,417,406,418,396,234,272,271,220,200,3201,1197,2004
,,,,,,,,,,,,,,,,,,,
"Grand Total, All reporting Institutions, All Students/All Majors, All Undergraduate Students ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
